NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1992 02 09    5.67
1992 02 10    5.10
1992 02 11    3.44
1992 02 12    4.91
1992 02 13    3.95
1992 02 14    6.59
1992 02 15    5.96
1992 02 16    5.42
1992 02 17    1.64
1992 02 18    5.06
1992 02 19    4.68
1992 02 20    5.07
1992 02 21    3.10
1992 02 22    5.70
1992 02 23    5.85
1992 02 24    5.78
1992 02 25    3.72
1992 02 26    3.25
1992 02 27    4.25
1992 02 28    4.20
1992 02 29    4.56
1992 03 01    5.34
1992 03 02    4.79
1992 03 03    5.06
1992 03 04    4.88
1992 03 05    2.89
1992 03 06    6.22
1992 03 07    3.74
1992 03 08    4.88
1992 03 09    2.83
